Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-2,15,1.2155,1.3022,0.6269,0.6406,0.6379
ogbn-arxiv,Simulation-2,16,1.2828,1.2869,0.6313,0.6433,0.6399
ogbn-arxiv,Simulation-2,17,1.3538,1.2722,0.6351,0.6470,0.6428
ogbn-arxiv,Simulation-2,18,1.4247,1.2589,0.6389,0.6495,0.6460
ogbn-arxiv,Simulation-2,19,1.4960,1.2480,0.6414,0.6519,0.6488
ogbn-arxiv,Simulation-2,20,1.5670,1.2359,0.6444,0.6545,0.6508
ogbn-arxiv,Simulation-2,21,1.6380,1.2277,0.6465,0.6563,0.6521
ogbn-arxiv,Simulation-2,22,1.7091,1.2180,0.6492,0.6588,0.6542
ogbn-arxiv,Simulation-2,23,1.7799,1.2098,0.6513,0.6594,0.6548
ogbn-arxiv,Simulation-2,24,1.8511,1.2020,0.6532,0.6608,0.6563
ogbn-arxiv,Simulation-2,25,1.9222,1.1952,0.6552,0.6621,0.6569
ogbn-arxiv,Simulation-2,26,1.9930,1.1889,0.6570,0.6637,0.6583
ogbn-arxiv,Simulation-2,27,2.0639,1.1827,0.6583,0.6638,0.6591
ogbn-arxiv,Simulation-2,28,2.1350,1.1762,0.6603,0.6650,0.6603
ogbn-arxiv,Simulation-2,29,2.2130,1.1719,0.6615,0.6662,0.6609
ogbn-arxiv,Simulation-2,30,2.2848,1.1668,0.6628,0.6669,0.6603
ogbn-arxiv,Simulation-2,31,2.3562,1.1608,0.6637,0.6682,0.6627
ogbn-arxiv,Simulation-2,32,2.4332,1.1552,0.6652,0.6690,0.6626
ogbn-arxiv,Simulation-2,33,2.5044,1.1513,0.6660,0.6704,0.6642
ogbn-arxiv,Simulation-2,34,2.5754,1.1463,0.6672,0.6719,0.6639
ogbn-arxiv,Simulation-2,35,2.6467,1.1415,0.6683,0.6719,0.6658
ogbn-arxiv,Simulation-2,36,2.7178,1.1367,0.6693,0.6730,0.6666
ogbn-arxiv,Simulation-2,37,2.7891,1.1338,0.6699,0.6739,0.6671
ogbn-arxiv,Simulation-2,38,2.8606,1.1289,0.6709,0.6742,0.6678
ogbn-arxiv,Simulation-2,39,2.9314,1.1249,0.6713,0.6747,0.6685
ogbn-arxiv,Simulation-2,40,3.0027,1.1206,0.6720,0.6755,0.6685
ogbn-arxiv,Simulation-2,41,3.0740,1.1181,0.6733,0.6764,0.6689
ogbn-arxiv,Simulation-2,42,3.1452,1.1145,0.6742,0.6769,0.6708
ogbn-arxiv,Simulation-2,43,3.2165,1.1108,0.6748,0.6772,0.6720
ogbn-arxiv,Simulation-2,44,3.2876,1.1077,0.6757,0.6774,0.6705
ogbn-arxiv,Simulation-2,45,3.3584,1.1041,0.6764,0.6784,0.6716
ogbn-arxiv,Simulation-2,46,3.4296,1.1009,0.6773,0.6788,0.6725
ogbn-arxiv,Simulation-2,47,3.4999,1.0971,0.6780,0.6798,0.6735
ogbn-arxiv,Simulation-2,48,3.5698,1.0948,0.6790,0.6800,0.6730
ogbn-arxiv,Simulation-2,49,3.6395,1.0912,0.6797,0.6811,0.6728
ogbn-arxiv,DDP-2,00,0.0851,3.5385,0.1613,0.1824,0.2420
ogbn-arxiv,DDP-2,01,0.1209,3.1357,0.2849,0.3594,0.3910
ogbn-arxiv,DDP-2,02,0.1559,2.8813,0.2567,0.2522,0.2270
ogbn-arxiv,DDP-2,03,0.1906,2.7591,0.2779,0.2982,0.2689
ogbn-arxiv,DDP-2,04,0.2258,2.6273,0.2887,0.3099,0.2837
ogbn-arxiv,DDP-2,05,0.2598,2.4859,0.3140,0.3251,0.2977
ogbn-arxiv,DDP-2,06,0.2940,2.3471,0.3651,0.3701,0.3493
ogbn-arxiv,DDP-2,07,0.3283,2.2164,0.4113,0.4233,0.4097
ogbn-arxiv,DDP-2,08,0.3628,2.1012,0.4472,0.4629,0.4555
ogbn-arxiv,DDP-2,09,0.3965,2.0005,0.4739,0.4989,0.4985
ogbn-arxiv,DDP-2,10,0.4299,1.9127,0.4931,0.5204,0.5218
ogbn-arxiv,DDP-2,11,0.4635,1.8392,0.5069,0.5382,0.5385
ogbn-arxiv,DDP-2,12,0.4971,1.7745,0.5228,0.5526,0.5508
ogbn-arxiv,DDP-2,13,0.5305,1.7163,0.5368,0.5665,0.5644
ogbn-arxiv,DDP-2,14,0.5645,1.6617,0.5507,0.5762,0.5734
ogbn-arxiv,DDP-2,15,0.5979,1.6192,0.5618,0.5854,0.5820
ogbn-arxiv,DDP-2,16,0.6318,1.5791,0.5709,0.5924,0.5885
ogbn-arxiv,DDP-2,17,0.6654,1.5465,0.5787,0.5986,0.5947
ogbn-arxiv,DDP-2,18,0.6999,1.5154,0.5843,0.6034,0.5991
ogbn-arxiv,DDP-2,19,0.7336,1.4888,0.5897,0.6086,0.6037
ogbn-arxiv,DDP-2,20,0.7672,1.4648,0.5943,0.6131,0.6074
ogbn-arxiv,DDP-2,21,0.8010,1.4445,0.5990,0.6160,0.6103
ogbn-arxiv,DDP-2,22,0.8346,1.4261,0.6022,0.6181,0.6135
ogbn-arxiv,DDP-2,23,0.8684,1.4105,0.6050,0.6213,0.6164
ogbn-arxiv,DDP-2,24,0.9023,1.3961,0.6077,0.6242,0.6197
ogbn-arxiv,DDP-2,25,0.9368,1.3824,0.6110,0.6264,0.6218
ogbn-arxiv,DDP-2,26,0.9713,1.3707,0.6134,0.6285,0.6240
ogbn-arxiv,DDP-2,27,1.0046,1.3566,0.6156,0.6295,0.6259
ogbn-arxiv,DDP-2,28,1.0381,1.3459,0.6179,0.6314,0.6283
ogbn-arxiv,DDP-2,29,1.0715,1.3376,0.6200,0.6333,0.6299
ogbn-arxiv,DDP-2,30,1.1050,1.3285,0.6222,0.6341,0.6310
ogbn-arxiv,DDP-2,31,1.1392,1.3180,0.6244,0.6361,0.6333
ogbn-arxiv,DDP-2,32,1.1736,1.3102,0.6261,0.6376,0.6348
ogbn-arxiv,DDP-2,33,1.2071,1.3047,0.6284,0.6396,0.6365
ogbn-arxiv,DDP-2,34,1.2417,1.2951,0.6304,0.6408,0.6369
ogbn-arxiv,DDP-2,35,1.2754,1.2896,0.6323,0.6428,0.6392
ogbn-arxiv,DDP-2,36,1.3089,1.2811,0.6342,0.6439,0.6408
ogbn-arxiv,DDP-2,37,1.3424,1.2746,0.6363,0.6456,0.6415
ogbn-arxiv,DDP-2,38,1.3760,1.2667,0.6378,0.6464,0.6426
ogbn-arxiv,DDP-2,39,1.4097,1.2630,0.6393,0.6477,0.6439
ogbn-arxiv,DDP-2,40,1.4436,1.2567,0.6408,0.6489,0.6454
ogbn-arxiv,DDP-2,41,1.4779,1.2505,0.6426,0.6506,0.6468
ogbn-arxiv,DDP-2,42,1.5120,1.2462,0.6440,0.6518,0.6470
ogbn-arxiv,DDP-2,43,1.5464,1.2415,0.6454,0.6529,0.6480
ogbn-arxiv,DDP-2,44,1.5803,1.2352,0.6465,0.6548,0.6487
ogbn-arxiv,DDP-2,45,1.6136,1.2320,0.6474,0.6563,0.6507
ogbn-arxiv,DDP-2,46,1.6476,1.2270,0.6485,0.6568,0.6514
ogbn-arxiv,DDP-2,47,1.6809,1.2218,0.6496,0.6584,0.6517
ogbn-arxiv,DDP-2,48,1.7149,1.2188,0.6509,0.6586,0.6520
ogbn-arxiv,DDP-2,49,1.7484,1.2147,0.6521,0.6600,0.6528
ogbn-arxiv,Simulation-4,00,0.1400,3.5071,0.2406,0.2265,0.1926
ogbn-arxiv,Simulation-4,01,0.2162,3.0768,0.2692,0.2817,0.2506
ogbn-arxiv,Simulation-4,02,0.2898,2.8804,0.2521,0.2467,0.2177
