Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Simulation-2,25,2.1937,1.1717,0.5669,0.4935,0.4972
flickr,Simulation-2,26,2.2709,1.1608,0.5704,0.4892,0.4911
flickr,Simulation-2,27,2.3487,1.1482,0.5762,0.4889,0.4942
flickr,Simulation-2,28,2.4266,1.1330,0.5790,0.4896,0.4939
flickr,Simulation-2,29,2.5040,1.1205,0.5834,0.4885,0.4922
flickr,Simulation-2,30,2.5818,1.1040,0.5855,0.4866,0.4892
flickr,Simulation-2,31,2.6595,1.0928,0.5885,0.4882,0.4895
flickr,Simulation-2,32,2.7364,1.0778,0.5952,0.4842,0.4888
flickr,Simulation-2,33,2.8143,1.0658,0.5974,0.4830,0.4854
flickr,Simulation-2,34,2.8918,1.0491,0.6029,0.4821,0.4842
flickr,Simulation-2,35,2.9689,1.0332,0.6069,0.4814,0.4827
flickr,Simulation-2,36,3.0462,1.0167,0.6114,0.4762,0.4798
flickr,Simulation-2,37,3.1238,1.0038,0.6164,0.4791,0.4821
flickr,Simulation-2,38,3.2015,0.9872,0.6208,0.4740,0.4781
flickr,Simulation-2,39,3.2789,0.9759,0.6259,0.4723,0.4768
flickr,Simulation-2,40,3.3562,0.9598,0.6299,0.4737,0.4785
flickr,Simulation-2,41,3.4326,0.9456,0.6337,0.4694,0.4764
flickr,Simulation-2,42,3.5097,0.9327,0.6365,0.4751,0.4780
flickr,Simulation-2,43,3.5851,0.9181,0.6413,0.4694,0.4732
flickr,Simulation-2,44,3.6624,0.9052,0.6470,0.4662,0.4704
flickr,Simulation-2,45,3.7388,0.8913,0.6495,0.4666,0.4721
flickr,Simulation-2,46,3.8156,0.8809,0.6532,0.4623,0.4653
flickr,Simulation-2,47,3.8923,0.8676,0.6569,0.4633,0.4682
flickr,Simulation-2,48,3.9686,0.8556,0.6625,0.4625,0.4683
flickr,Simulation-2,49,4.0442,0.8443,0.6633,0.4588,0.4604
flickr,DDP-2,00,0.1246,1.8359,0.4365,0.4379,0.4385
flickr,DDP-2,01,0.1624,1.6313,0.4602,0.4560,0.4600
flickr,DDP-2,02,0.2003,1.5844,0.4698,0.4674,0.4693
flickr,DDP-2,03,0.2371,1.5577,0.4770,0.4745,0.4785
flickr,DDP-2,04,0.2730,1.5333,0.4842,0.4809,0.4825
flickr,DDP-2,05,0.3081,1.5154,0.4895,0.4861,0.4879
flickr,DDP-2,06,0.3435,1.5013,0.4925,0.4892,0.4900
flickr,DDP-2,07,0.3784,1.4877,0.4973,0.4918,0.4915
flickr,DDP-2,08,0.4138,1.4753,0.4991,0.4925,0.4922
flickr,DDP-2,09,0.4491,1.4640,0.5012,0.4948,0.4938
flickr,DDP-2,10,0.4844,1.4546,0.5041,0.4951,0.4948
flickr,DDP-2,11,0.5193,1.4457,0.5065,0.4965,0.4963
flickr,DDP-2,12,0.5549,1.4358,0.5096,0.4978,0.4979
flickr,DDP-2,13,0.5897,1.4291,0.5109,0.4972,0.4989
flickr,DDP-2,14,0.6253,1.4211,0.5125,0.4979,0.4996
flickr,DDP-2,15,0.6602,1.4140,0.5126,0.4982,0.4992
flickr,DDP-2,16,0.6957,1.4072,0.5154,0.4986,0.5003
flickr,DDP-2,17,0.7306,1.4004,0.5152,0.4978,0.4998
flickr,DDP-2,18,0.7662,1.3951,0.5172,0.4986,0.5004
flickr,DDP-2,19,0.8013,1.3895,0.5188,0.4988,0.5002
flickr,DDP-2,20,0.8368,1.3854,0.5197,0.4991,0.4992
flickr,DDP-2,21,0.8718,1.3792,0.5200,0.4989,0.5003
flickr,DDP-2,22,0.9074,1.3747,0.5210,0.4990,0.5004
flickr,DDP-2,23,0.9422,1.3703,0.5209,0.4998,0.5004
flickr,DDP-2,24,0.9778,1.3653,0.5217,0.4991,0.5007
flickr,DDP-2,25,1.0131,1.3596,0.5228,0.4995,0.5014
flickr,DDP-2,26,1.0487,1.3553,0.5239,0.5000,0.5005
flickr,DDP-2,27,1.0837,1.3512,0.5257,0.5004,0.5005
flickr,DDP-2,28,1.1193,1.3447,0.5264,0.4987,0.5002
flickr,DDP-2,29,1.1542,1.3409,0.5261,0.4992,0.4997
