Dataset,Method,Epoch,Time,x,Train,Val,Test
flickr,Simulation-2,25,3.9605,1.2071,0.5557,0.4824,0.4881
flickr,Simulation-2,26,4.1066,1.1985,0.5603,0.4827,0.4887
flickr,Simulation-2,27,4.2525,1.1863,0.5643,0.4786,0.4874
flickr,Simulation-2,28,4.3984,1.1782,0.5693,0.4788,0.4868
flickr,Simulation-2,29,4.5443,1.1663,0.5721,0.4777,0.4857
flickr,Simulation-2,30,4.6903,1.1591,0.5730,0.4763,0.4840
flickr,Simulation-2,31,4.8361,1.1489,0.5752,0.4765,0.4848
flickr,Simulation-2,32,4.9820,1.1384,0.5775,0.4765,0.4825
flickr,Simulation-2,33,5.1280,1.1311,0.5837,0.4723,0.4808
flickr,Simulation-2,34,5.2741,1.1212,0.5866,0.4678,0.4769
flickr,Simulation-2,35,5.4200,1.1096,0.5871,0.4715,0.4777
flickr,Simulation-2,36,5.5661,1.0991,0.5928,0.4667,0.4756
flickr,Simulation-2,37,5.7121,1.0924,0.5941,0.4671,0.4737
flickr,Simulation-2,38,5.8579,1.0826,0.5937,0.4649,0.4713
flickr,Simulation-2,39,6.0039,1.0750,0.5997,0.4638,0.4701
flickr,Simulation-2,40,6.1500,1.0657,0.6000,0.4638,0.4717
flickr,Simulation-2,41,6.2958,1.0588,0.6052,0.4661,0.4709
flickr,Simulation-2,42,6.4418,1.0515,0.6138,0.4604,0.4677
flickr,Simulation-2,43,6.5876,1.0413,0.6116,0.4555,0.4613
flickr,Simulation-2,44,6.7335,1.0347,0.6146,0.4628,0.4687
flickr,Simulation-2,45,6.8795,1.0219,0.6209,0.4608,0.4656
flickr,Simulation-2,46,7.0254,1.0147,0.6231,0.4597,0.4651
flickr,Simulation-2,47,7.1713,1.0098,0.6210,0.4607,0.4677
flickr,Simulation-2,48,7.3171,1.0010,0.6267,0.4576,0.4627
flickr,Simulation-2,49,7.4630,0.9927,0.6290,0.4544,0.4619
flickr,DDP-2,00,0.1772,1.8346,0.4268,0.4251,0.4279
flickr,DDP-2,01,0.2582,1.6577,0.4443,0.4446,0.4443
flickr,DDP-2,02,0.3358,1.6055,0.4666,0.4616,0.4645
flickr,DDP-2,03,0.4134,1.5714,0.4715,0.4702,0.4720
flickr,DDP-2,04,0.4910,1.5451,0.4776,0.4761,0.4803
flickr,DDP-2,05,0.5688,1.5258,0.4840,0.4826,0.4861
flickr,DDP-2,06,0.6465,1.5061,0.4889,0.4870,0.4889
flickr,DDP-2,07,0.7241,1.4930,0.4932,0.4912,0.4918
flickr,DDP-2,08,0.8018,1.4780,0.4983,0.4952,0.4950
flickr,DDP-2,09,0.8796,1.4659,0.5014,0.4972,0.4959
flickr,DDP-2,10,0.9572,1.4554,0.5028,0.4993,0.4978
flickr,DDP-2,11,1.0348,1.4469,0.5059,0.5011,0.4987
flickr,DDP-2,12,1.1124,1.4377,0.5075,0.5016,0.4988
flickr,DDP-2,13,1.1901,1.4278,0.5094,0.5026,0.5004
flickr,DDP-2,14,1.2677,1.4209,0.5116,0.5024,0.5001
flickr,DDP-2,15,1.3453,1.4158,0.5122,0.5020,0.5001
flickr,DDP-2,16,1.4229,1.4087,0.5138,0.5035,0.5006
flickr,DDP-2,17,1.5005,1.4027,0.5152,0.5039,0.5006
flickr,DDP-2,18,1.5782,1.3973,0.5164,0.5024,0.5015
flickr,DDP-2,19,1.6558,1.3919,0.5184,0.5015,0.5032
flickr,DDP-2,20,1.7334,1.3869,0.5195,0.5030,0.5034
flickr,DDP-2,21,1.8110,1.3805,0.5194,0.5020,0.5020
flickr,DDP-2,22,1.8886,1.3773,0.5202,0.5022,0.4999
flickr,DDP-2,23,1.9662,1.3692,0.5202,0.5016,0.5006
flickr,DDP-2,24,2.0442,1.3654,0.5219,0.5008,0.5021
flickr,DDP-2,25,2.1219,1.3606,0.5204,0.4998,0.5010
flickr,DDP-2,26,2.1996,1.3557,0.5210,0.4997,0.5006
flickr,DDP-2,27,2.2772,1.3495,0.5239,0.5016,0.5018
flickr,DDP-2,28,2.3549,1.3446,0.5230,0.4992,0.4989
flickr,DDP-2,29,2.4325,1.3401,0.5238,0.4978,0.4989
flickr,DDP-2,30,2.5102,1.3357,0.5226,0.4957,0.4968
flickr,DDP-2,31,2.5879,1.3317,0.5237,0.4944,0.4977
flickr,DDP-2,32,2.6654,1.3260,0.5258,0.4957,0.4964
flickr,DDP-2,33,2.7431,1.3230,0.5289,0.4986,0.4990
flickr,DDP-2,34,2.8208,1.3172,0.5312,0.4976,0.4981
flickr,DDP-2,35,2.8984,1.3147,0.5334,0.4974,0.4984
flickr,DDP-2,36,2.9760,1.3088,0.5342,0.4971,0.4976
flickr,DDP-2,37,3.0537,1.3039,0.5345,0.4966,0.4986
flickr,DDP-2,38,3.1313,1.2996,0.5349,0.4965,0.4989
flickr,DDP-2,39,3.2090,1.2960,0.5353,0.4963,0.4977
flickr,DDP-2,40,3.2867,1.2917,0.5363,0.4957,0.4986
flickr,DDP-2,41,3.3643,1.2871,0.5378,0.4956,0.4976
flickr,DDP-2,42,3.4419,1.2819,0.5367,0.4956,0.4984
flickr,DDP-2,43,3.5195,1.2779,0.5382,0.4952,0.4992
flickr,DDP-2,44,3.5973,1.2729,0.5397,0.4941,0.4977
flickr,DDP-2,45,3.6749,1.2684,0.5424,0.4938,0.4983
flickr,DDP-2,46,3.7525,1.2642,0.5424,0.4924,0.4973
flickr,DDP-2,47,3.8302,1.2574,0.5437,0.4920,0.4964
flickr,DDP-2,48,3.9079,1.2550,0.5445,0.4909,0.4951
flickr,DDP-2,49,3.9855,1.2500,0.5460,0.4902,0.4943
flickr,Simulation-4,00,0.2829,1.7435,0.4439,0.4369,0.4384
flickr,Simulation-4,01,0.4173,1.6048,0.4632,0.4554,0.4597
flickr,Simulation-4,02,0.5517,1.5651,0.4744,0.4683,0.4712
flickr,Simulation-4,03,0.6860,1.5370,0.4810,0.4760,0.4780
flickr,Simulation-4,04,0.8202,1.5141,0.4867,0.4815,0.4845
flickr,Simulation-4,05,0.9543,1.4952,0.4931,0.4871,0.4907
flickr,Simulation-4,06,1.0884,1.4798,0.4969,0.4912,0.4920
flickr,Simulation-4,07,1.2226,1.4677,0.4996,0.4935,0.4953
flickr,Simulation-4,08,1.3568,1.4553,0.5017,0.4963,0.4968
flickr,Simulation-4,09,1.4908,1.4454,0.5029,0.4958,0.4959
