Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-arxiv,Simulation-2,15,1.9218,1.3362,0.6196,0.6356,0.6355
ogbn-arxiv,Simulation-2,16,2.0376,1.3193,0.6230,0.6381,0.6368
ogbn-arxiv,Simulation-2,17,2.1488,1.3044,0.6273,0.6416,0.6408
ogbn-arxiv,Simulation-2,18,2.2577,1.2902,0.6308,0.6443,0.6423
ogbn-arxiv,Simulation-2,19,2.3665,1.2800,0.6336,0.6463,0.6448
ogbn-arxiv,Simulation-2,20,2.4753,1.2679,0.6359,0.6484,0.6468
ogbn-arxiv,Simulation-2,21,2.5840,1.2557,0.6386,0.6498,0.6487
ogbn-arxiv,Simulation-2,22,2.6927,1.2464,0.6412,0.6521,0.6516
ogbn-arxiv,Simulation-2,23,2.8014,1.2386,0.6432,0.6539,0.6516
ogbn-arxiv,Simulation-2,24,2.9102,1.2304,0.6456,0.6560,0.6534
ogbn-arxiv,Simulation-2,25,3.0189,1.2219,0.6474,0.6573,0.6557
ogbn-arxiv,Simulation-2,26,3.1277,1.2142,0.6497,0.6591,0.6555
ogbn-arxiv,Simulation-2,27,3.2367,1.2077,0.6515,0.6606,0.6578
ogbn-arxiv,Simulation-2,28,3.3455,1.2012,0.6529,0.6617,0.6592
ogbn-arxiv,Simulation-2,29,3.4542,1.1944,0.6546,0.6635,0.6612
ogbn-arxiv,Simulation-2,30,3.5631,1.1890,0.6566,0.6654,0.6624
ogbn-arxiv,Simulation-2,31,3.6720,1.1835,0.6578,0.6662,0.6631
ogbn-arxiv,Simulation-2,32,3.7809,1.1775,0.6589,0.6673,0.6637
ogbn-arxiv,Simulation-2,33,3.8897,1.1729,0.6600,0.6680,0.6640
ogbn-arxiv,Simulation-2,34,3.9986,1.1668,0.6616,0.6707,0.6660
ogbn-arxiv,Simulation-2,35,4.1074,1.1625,0.6628,0.6706,0.6662
ogbn-arxiv,Simulation-2,36,4.2162,1.1570,0.6639,0.6718,0.6678
ogbn-arxiv,Simulation-2,37,4.3250,1.1529,0.6655,0.6717,0.6672
ogbn-arxiv,Simulation-2,38,4.4338,1.1484,0.6665,0.6732,0.6692
ogbn-arxiv,Simulation-2,39,4.5426,1.1440,0.6675,0.6738,0.6685
ogbn-arxiv,Simulation-2,40,4.6513,1.1404,0.6688,0.6755,0.6704
ogbn-arxiv,Simulation-2,41,4.7601,1.1371,0.6696,0.6762,0.6705
ogbn-arxiv,Simulation-2,42,4.8689,1.1322,0.6708,0.6756,0.6700
ogbn-arxiv,Simulation-2,43,4.9777,1.1290,0.6719,0.6772,0.6720
ogbn-arxiv,Simulation-2,44,5.0865,1.1262,0.6729,0.6780,0.6704
ogbn-arxiv,Simulation-2,45,5.1954,1.1224,0.6730,0.6786,0.6726
ogbn-arxiv,Simulation-2,46,5.3042,1.1190,0.6738,0.6798,0.6727
ogbn-arxiv,Simulation-2,47,5.4129,1.1156,0.6748,0.6796,0.6730
ogbn-arxiv,Simulation-2,48,5.5217,1.1148,0.6755,0.6797,0.6726
ogbn-arxiv,Simulation-2,49,5.6305,1.1111,0.6758,0.6807,0.6731
ogbn-arxiv,DDP-2,00,0.0982,3.3950,0.1791,0.0763,0.0586
ogbn-arxiv,DDP-2,01,0.1556,2.9885,0.1856,0.0889,0.0678
ogbn-arxiv,DDP-2,02,0.2129,2.8533,0.2786,0.2992,0.2691
ogbn-arxiv,DDP-2,03,0.2702,2.7228,0.2753,0.2958,0.2677
ogbn-arxiv,DDP-2,04,0.3276,2.5824,0.2896,0.3093,0.2835
ogbn-arxiv,DDP-2,05,0.3849,2.4312,0.3347,0.3494,0.3294
ogbn-arxiv,DDP-2,06,0.4424,2.2857,0.3789,0.3946,0.3808
ogbn-arxiv,DDP-2,07,0.4996,2.1573,0.4264,0.4512,0.4448
ogbn-arxiv,DDP-2,08,0.5570,2.0422,0.4586,0.4864,0.4885
ogbn-arxiv,DDP-2,09,0.6144,1.9449,0.4831,0.5146,0.5162
ogbn-arxiv,DDP-2,10,0.6716,1.8581,0.5034,0.5356,0.5386
ogbn-arxiv,DDP-2,11,0.7291,1.7847,0.5209,0.5527,0.5565
ogbn-arxiv,DDP-2,12,0.7864,1.7170,0.5362,0.5668,0.5693
ogbn-arxiv,DDP-2,13,0.8438,1.6613,0.5506,0.5788,0.5811
ogbn-arxiv,DDP-2,14,0.9011,1.6121,0.5626,0.5888,0.5891
ogbn-arxiv,DDP-2,15,0.9584,1.5668,0.5740,0.5974,0.5971
ogbn-arxiv,DDP-2,16,1.0158,1.5289,0.5818,0.6037,0.6013
ogbn-arxiv,DDP-2,17,1.0732,1.4989,0.5878,0.6084,0.6051
ogbn-arxiv,DDP-2,18,1.1305,1.4705,0.5925,0.6112,0.6089
ogbn-arxiv,DDP-2,19,1.1879,1.4462,0.5963,0.6156,0.6135
ogbn-arxiv,DDP-2,20,1.2451,1.4262,0.6007,0.6184,0.6164
ogbn-arxiv,DDP-2,21,1.3023,1.4076,0.6035,0.6202,0.6191
ogbn-arxiv,DDP-2,22,1.3596,1.3895,0.6072,0.6230,0.6214
ogbn-arxiv,DDP-2,23,1.4169,1.3732,0.6100,0.6250,0.6245
ogbn-arxiv,DDP-2,24,1.4742,1.3594,0.6131,0.6276,0.6264
ogbn-arxiv,DDP-2,25,1.5315,1.3462,0.6162,0.6298,0.6285
ogbn-arxiv,DDP-2,26,1.5887,1.3352,0.6185,0.6313,0.6307
ogbn-arxiv,DDP-2,27,1.6460,1.3210,0.6215,0.6334,0.6332
ogbn-arxiv,DDP-2,28,1.7032,1.3120,0.6238,0.6351,0.6354
ogbn-arxiv,DDP-2,29,1.7605,1.3028,0.6257,0.6366,0.6369
ogbn-arxiv,DDP-2,30,1.8177,1.2938,0.6286,0.6388,0.6382
ogbn-arxiv,DDP-2,31,1.8750,1.2856,0.6307,0.6403,0.6386
ogbn-arxiv,DDP-2,32,1.9323,1.2772,0.6321,0.6420,0.6403
ogbn-arxiv,DDP-2,33,1.9895,1.2701,0.6339,0.6436,0.6432
ogbn-arxiv,DDP-2,34,2.0469,1.2641,0.6359,0.6448,0.6436
ogbn-arxiv,DDP-2,35,2.1041,1.2565,0.6375,0.6462,0.6444
ogbn-arxiv,DDP-2,36,2.1614,1.2516,0.6392,0.6473,0.6453
ogbn-arxiv,DDP-2,37,2.2188,1.2440,0.6408,0.6485,0.6462
ogbn-arxiv,DDP-2,38,2.2761,1.2383,0.6427,0.6505,0.6479
ogbn-arxiv,DDP-2,39,2.3333,1.2333,0.6437,0.6512,0.6490
ogbn-arxiv,DDP-2,40,2.3906,1.2283,0.6451,0.6523,0.6513
ogbn-arxiv,DDP-2,41,2.4478,1.2220,0.6467,0.6532,0.6516
ogbn-arxiv,DDP-2,42,2.5050,1.2165,0.6480,0.6538,0.6518
ogbn-arxiv,DDP-2,43,2.5623,1.2151,0.6493,0.6553,0.6542
ogbn-arxiv,DDP-2,44,2.6196,1.2097,0.6502,0.6564,0.6541
ogbn-arxiv,DDP-2,45,2.6769,1.2054,0.6514,0.6577,0.6552
ogbn-arxiv,DDP-2,46,2.7341,1.2008,0.6527,0.6591,0.6565
ogbn-arxiv,DDP-2,47,2.7913,1.1971,0.6530,0.6592,0.6571
ogbn-arxiv,DDP-2,48,2.8486,1.1941,0.6545,0.6607,0.6581
ogbn-arxiv,DDP-2,49,2.9058,1.1901,0.6556,0.6611,0.6585
ogbn-arxiv,Simulation-4,00,0.1635,3.4634,0.1792,0.0764,0.0589
ogbn-arxiv,Simulation-4,01,0.2583,3.0449,0.1801,0.0776,0.0594
ogbn-arxiv,Simulation-4,02,0.3531,2.8817,0.2653,0.2752,0.2470
ogbn-arxiv,Simulation-4,03,0.4478,2.7536,0.2826,0.3024,0.2743
ogbn-arxiv,Simulation-4,04,0.5424,2.6248,0.2996,0.3219,0.2984
ogbn-arxiv,Simulation-4,05,0.6370,2.4818,0.3441,0.3654,0.3474
ogbn-arxiv,Simulation-4,06,0.7319,2.3427,0.3744,0.3996,0.3888
ogbn-arxiv,Simulation-4,07,0.8266,2.2139,0.4057,0.4434,0.4392
ogbn-arxiv,Simulation-4,08,0.9213,2.1005,0.4393,0.4751,0.4719
ogbn-arxiv,Simulation-4,09,1.0159,2.0012,0.4669,0.5034,0.5047
ogbn-arxiv,Simulation-4,10,1.1107,1.9151,0.4863,0.5239,0.5276
ogbn-arxiv,Simulation-4,11,1.2052,1.8419,0.5038,0.5371,0.5402
ogbn-arxiv,Simulation-4,12,1.3000,1.7780,0.5188,0.5507,0.5542
ogbn-arxiv,Simulation-4,13,1.3946,1.7216,0.5329,0.5625,0.5656
ogbn-arxiv,Simulation-4,14,1.4893,1.6689,0.5452,0.5733,0.5748
ogbn-arxiv,Simulation-4,15,1.5841,1.6240,0.5571,0.5848,0.5843
ogbn-arxiv,Simulation-4,16,1.6788,1.5845,0.5665,0.5906,0.5889
ogbn-arxiv,Simulation-4,17,1.7735,1.5488,0.5756,0.5966,0.5943
ogbn-arxiv,Simulation-4,18,1.8682,1.5182,0.5820,0.6024,0.6004
ogbn-arxiv,Simulation-4,19,1.9629,1.4912,0.5873,0.6077,0.6059
ogbn-arxiv,Simulation-4,20,2.0576,1.4671,0.5918,0.6110,0.6083
ogbn-arxiv,Simulation-4,21,2.1522,1.4456,0.5957,0.6165,0.6135
ogbn-arxiv,Simulation-4,22,2.2469,1.4276,0.5988,0.6190,0.6166
ogbn-arxiv,Simulation-4,23,2.3422,1.4130,0.6027,0.6212,0.6197
ogbn-arxiv,Simulation-4,24,2.4369,1.3965,0.6059,0.6232,0.6218
ogbn-arxiv,Simulation-4,25,2.5316,1.3826,0.6088,0.6254,0.6242
ogbn-arxiv,Simulation-4,26,2.6263,1.3693,0.6118,0.6274,0.6265
ogbn-arxiv,Simulation-4,27,2.7210,1.3584,0.6148,0.6288,0.6281
ogbn-arxiv,Simulation-4,28,2.8158,1.3475,0.6165,0.6307,0.6299
ogbn-arxiv,Simulation-4,29,2.9105,1.3386,0.6188,0.6325,0.6308
ogbn-arxiv,Simulation-4,30,3.0052,1.3288,0.6207,0.6350,0.6338
ogbn-arxiv,Simulation-4,31,3.0998,1.3198,0.6229,0.6367,0.6346
ogbn-arxiv,Simulation-4,32,3.1945,1.3122,0.6244,0.6374,0.6368
ogbn-arxiv,Simulation-4,33,3.2892,1.3055,0.6257,0.6389,0.6376
ogbn-arxiv,Simulation-4,34,3.3841,1.2979,0.6278,0.6408,0.6382
ogbn-arxiv,Simulation-4,35,3.4788,1.2909,0.6289,0.6415,0.6397
ogbn-arxiv,Simulation-4,36,3.5736,1.2847,0.6305,0.6424,0.6419
ogbn-arxiv,Simulation-4,37,3.6682,1.2778,0.6321,0.6441,0.6423
ogbn-arxiv,Simulation-4,38,3.7630,1.2716,0.6339,0.6449,0.6425
ogbn-arxiv,Simulation-4,39,3.8577,1.2669,0.6352,0.6461,0.6443
ogbn-arxiv,Simulation-4,40,3.9525,1.2612,0.6372,0.6473,0.6452
ogbn-arxiv,Simulation-4,41,4.0471,1.2558,0.6383,0.6481,0.6458
ogbn-arxiv,Simulation-4,42,4.1419,1.2514,0.6397,0.6495,0.6470
ogbn-arxiv,Simulation-4,43,4.2365,1.2468,0.6414,0.6507,0.6470
ogbn-arxiv,Simulation-4,44,4.3312,1.2419,0.6426,0.6525,0.6496
