Dataset,Method,Epoch,Time,x,Train,Val,Test
ogbn-products,DDP-2,20,0.7786,0.8124,0.8488,0.8392,0.6770
ogbn-products,DDP-2,21,0.8134,0.7997,0.8501,0.8406,0.6797
ogbn-products,DDP-2,22,0.8480,0.7892,0.8518,0.8425,0.6819
ogbn-products,DDP-2,23,0.8829,0.7788,0.8535,0.8437,0.6834
ogbn-products,DDP-2,24,0.9177,0.7692,0.8548,0.8451,0.6853
ogbn-products,DDP-2,25,0.9517,0.7605,0.8563,0.8462,0.6867
ogbn-products,DDP-2,26,0.9867,0.7512,0.8575,0.8478,0.6877
ogbn-products,DDP-2,27,1.0209,0.7440,0.8587,0.8487,0.6894
ogbn-products,DDP-2,28,1.0555,0.7378,0.8597,0.8494,0.6906
ogbn-products,DDP-2,29,1.0901,0.7297,0.8608,0.8500,0.6915
ogbn-products,DDP-2,30,1.1246,0.7236,0.8616,0.8513,0.6928
ogbn-products,DDP-2,31,1.1593,0.7174,0.8623,0.8521,0.6943
ogbn-products,DDP-2,32,1.1944,0.7135,0.8632,0.8527,0.6953
ogbn-products,DDP-2,33,1.2292,0.7053,0.8640,0.8541,0.6963
ogbn-products,DDP-2,34,1.2638,0.7011,0.8649,0.8542,0.6972
ogbn-products,DDP-2,35,1.2981,0.7007,0.8653,0.8550,0.6979
ogbn-products,DDP-2,36,1.3327,0.6913,0.8658,0.8560,0.6984
ogbn-products,DDP-2,37,1.3673,0.6880,0.8665,0.8564,0.6991
ogbn-products,DDP-2,38,1.4019,0.6841,0.8670,0.8571,0.7004
ogbn-products,DDP-2,39,1.4366,0.6805,0.8675,0.8576,0.7010
ogbn-products,DDP-2,40,1.4709,0.6751,0.8679,0.8578,0.7016
ogbn-products,DDP-2,41,1.5055,0.6716,0.8685,0.8586,0.7028
ogbn-products,DDP-2,42,1.5401,0.6666,0.8689,0.8591,0.7035
ogbn-products,DDP-2,43,1.5744,0.6616,0.8693,0.8595,0.7040
ogbn-products,DDP-2,44,1.6090,0.6598,0.8698,0.8600,0.7045
ogbn-products,DDP-2,45,1.6436,0.6583,0.8701,0.8607,0.7053
ogbn-products,DDP-2,46,1.6786,0.6563,0.8707,0.8610,0.7064
ogbn-products,DDP-2,47,1.7132,0.6487,0.8707,0.8620,0.7066
ogbn-products,DDP-2,48,1.7478,0.6510,0.8712,0.8627,0.7073
ogbn-products,DDP-2,49,1.7826,0.6425,0.8715,0.8631,0.7078
ogbn-products,DDP-4,00,0.4470,3.5695,0.3055,0.3034,0.2406
ogbn-products,DDP-4,01,0.6343,3.2060,0.4096,0.4095,0.3213
ogbn-products,DDP-4,02,0.6550,2.8929,0.4707,0.4728,0.3699
ogbn-products,DDP-4,03,0.6752,2.6262,0.4997,0.5013,0.3954
ogbn-products,DDP-4,04,0.6956,2.3883,0.5174,0.5174,0.4109
ogbn-products,DDP-4,05,0.7161,2.1837,0.5320,0.5319,0.4236
ogbn-products,DDP-4,06,0.7363,2.0138,0.5520,0.5501,0.4382
ogbn-products,DDP-4,07,0.7568,1.8673,0.5788,0.5754,0.4566
ogbn-products,DDP-4,08,0.7771,1.7416,0.6112,0.6063,0.4784
ogbn-products,DDP-4,09,0.7974,1.6307,0.6474,0.6405,0.5034
ogbn-products,DDP-4,10,0.8179,1.5323,0.6860,0.6758,0.5294
ogbn-products,DDP-4,11,0.8384,1.4483,0.7177,0.7035,0.5526
ogbn-products,DDP-4,12,0.8586,1.3742,0.7403,0.7269,0.5705
ogbn-products,DDP-4,13,0.8794,1.3077,0.7574,0.7430,0.5841
ogbn-products,DDP-4,14,0.8997,1.2489,0.7699,0.7564,0.5948
ogbn-products,DDP-4,15,0.9201,1.1999,0.7798,0.7665,0.6038
ogbn-products,DDP-4,16,0.9403,1.1505,0.7879,0.7750,0.6117
ogbn-products,DDP-4,17,0.9609,1.1074,0.7948,0.7826,0.6183
ogbn-products,DDP-4,18,0.9812,1.0752,0.8012,0.7895,0.6241
ogbn-products,DDP-4,19,1.0014,1.0458,0.8068,0.7956,0.6296
ogbn-products,DDP-4,20,1.0215,1.0135,0.8116,0.8010,0.6348
ogbn-products,DDP-4,21,1.0419,0.9907,0.8155,0.8053,0.6393
ogbn-products,DDP-4,22,1.0619,0.9704,0.8190,0.8088,0.6434
ogbn-products,DDP-4,23,1.0833,0.9467,0.8220,0.8117,0.6470
ogbn-products,DDP-4,24,1.1036,0.9246,0.8249,0.8150,0.6501
ogbn-products,DDP-4,25,1.1242,0.9093,0.8274,0.8186,0.6532
ogbn-products,DDP-4,26,1.1445,0.8942,0.8302,0.8209,0.6561
ogbn-products,DDP-4,27,1.1650,0.8760,0.8325,0.8233,0.6588
ogbn-products,DDP-4,28,1.1852,0.8646,0.8345,0.8254,0.6614
ogbn-products,DDP-4,29,1.2057,0.8559,0.8363,0.8267,0.6637
ogbn-products,DDP-4,30,1.2259,0.8421,0.8385,0.8297,0.6658
ogbn-products,DDP-4,31,1.2467,0.8355,0.8401,0.8310,0.6676
ogbn-products,DDP-4,32,1.2669,0.8207,0.8417,0.8325,0.6694
ogbn-products,DDP-4,33,1.2870,0.8150,0.8431,0.8342,0.6711
ogbn-products,DDP-4,34,1.3071,0.8079,0.8445,0.8357,0.6730
ogbn-products,DDP-4,35,1.3279,0.7948,0.8457,0.8372,0.6747
ogbn-products,DDP-4,36,1.3485,0.7924,0.8469,0.8380,0.6759
ogbn-products,DDP-4,37,1.3690,0.7806,0.8479,0.8387,0.6771
ogbn-products,DDP-4,38,1.3891,0.7760,0.8490,0.8400,0.6784
ogbn-products,DDP-4,39,1.4099,0.7682,0.8500,0.8410,0.6796
ogbn-products,DDP-4,40,1.4303,0.7650,0.8509,0.8414,0.6809
ogbn-products,DDP-4,41,1.4555,0.7570,0.8519,0.8425,0.6821
ogbn-products,DDP-4,42,1.4756,0.7544,0.8530,0.8431,0.6834
ogbn-products,DDP-4,43,1.4962,0.7443,0.8538,0.8437,0.6845
ogbn-products,DDP-4,44,1.5163,0.7399,0.8542,0.8443,0.6853
ogbn-products,DDP-4,45,1.5368,0.7397,0.8549,0.8454,0.6859
ogbn-products,DDP-4,46,1.5571,0.7322,0.8558,0.8462,0.6867
ogbn-products,DDP-4,47,1.5775,0.7283,0.8564,0.8467,0.6876
ogbn-products,DDP-4,48,1.5978,0.7258,0.8569,0.8473,0.6886
ogbn-products,DDP-4,49,1.6183,0.7195,0.8574,0.8477,0.6895
